DateTime,Final_price,Source
2022-12-06 18:05:02,19.8,ACV
2023-01-05 18:27:45,59.99,ACV
2023-03-02 18:03:36,19.79,ACV
2023-03-09 18:03:39,59.99,ACV
2023-03-16 17:31:07,19.79,ACV
2023-03-23 17:27:26,59.99,ACV
2023-04-17 17:40:08,19.79,ACV
2023-04-24 05:05:02,59.99,ACV
2023-06-08 17:04:08,14.99,ACV
2023-06-15 17:04:14,59.99,ACV
2023-06-29 17:24:02,14.99,ACV
2023-07-13 17:28:03,59.99,ACV
2023-07-24 17:25:14,14.99,ACV
2023-07-31 17:24:45,59.99,ACV
2023-09-03 17:02:58,14.99,ACV
2023-09-10 17:03:26,59.99,ACV
2023-11-21 18:24:49,14.99,ACV
2023-11-28 18:33:54,59.99,ACV
2023-12-07 18:03:59,14.99,ACV
2023-12-14 18:03:37,59.99,ACV
2023-12-21 18:15:38,14.99,ACV
2024-01-04 18:36:15,59.99,ACV
2024-02-15 18:28:32,14.99,ACV
2024-02-29 18:03:19,59.99,ACV
2024-03-14 17:49:09,14.99,ACV
2024-03-21 17:34:02,59.99,ACV
2024-05-15 17:03:54,11.99,ACV
2024-05-26 17:03:42,59.99,ACV
2024-06-27 17:57:27,11.99,ACV
2024-07-09 14:26:44,11.99,ACV
2024-07-09 14:26:44,,ACV
2023-01-26 18:05:03,12.0,WDL
2023-01-30 18:24:31,59.99,WDL
2023-03-02 18:03:38,11.99,WDL
2023-03-09 18:03:40,59.99,WDL
2023-03-16 17:31:10,11.99,WDL
2023-03-23 17:27:30,59.99,WDL
2023-06-01 17:04:28,8.99,WDL
2023-06-08 17:04:11,59.99,WDL
2023-06-29 17:24:09,8.99,WDL
2023-07-13 17:28:09,59.99,WDL
2023-07-24 17:25:17,8.99,WDL
2023-07-31 17:24:48,59.99,WDL
2023-09-10 17:03:28,8.99,WDL
2023-09-17 17:03:07,59.99,WDL
2023-11-09 18:03:07,8.99,WDL
2023-11-16 18:03:01,59.99,WDL
2023-11-21 18:24:56,8.99,WDL
2023-11-28 18:33:59,59.99,WDL
2023-12-21 18:15:45,8.99,WDL
2024-01-15 18:24:33,59.99,WDL
2024-02-15 18:28:33,8.99,WDL
2024-02-29 18:03:21,59.99,WDL
2024-03-14 17:49:17,8.99,WDL
2024-03-21 17:34:04,59.99,WDL
2024-05-13 17:25:06,8.99,WDL
2024-05-20 17:25:11,59.99,WDL
2024-06-19 17:03:44,8.99,WDL
2024-06-24 17:24:15,59.99,WDL
2024-06-27 17:57:33,5.99,WDL
2024-07-09 14:32:18,5.99,WDL
2024-07-09 14:32:18,,WDL
2023-05-11 17:05:03,15.0,FC
2023-05-25 17:04:19,59.99,FC
2023-06-29 17:24:37,14.99,FC
2023-07-13 17:28:27,59.99,FC
2023-07-24 17:25:27,14.99,FC
2023-07-31 17:24:58,59.99,FC
2023-09-14 17:04:00,14.99,FC
2023-09-21 17:03:50,59.99,FC
2023-11-03 17:03:16,14.99,FC
2023-11-10 17:05:03,59.99,FC
2023-11-21 18:25:22,14.99,FC
2023-11-28 18:34:17,59.99,FC
2023-12-13 18:03:29,14.99,FC
2023-12-20 18:03:00,59.99,FC
2023-12-21 18:16:12,14.99,FC
2024-01-04 18:36:49,59.99,FC
2024-02-15 18:28:40,14.99,FC
2024-02-29 18:03:27,59.99,FC
2024-03-14 17:49:46,14.99,FC
2024-03-21 17:34:25,59.99,FC
2024-04-15 17:25:49,14.99,FC
2024-04-22 17:25:23,59.99,FC
2024-06-02 17:03:17,14.99,FC
2024-06-09 17:03:55,59.99,FC
2024-06-27 17:58:01,11.99,FC
2024-07-03 09:59:45,11.99,FC
2024-07-03 09:59:45,,FC
