"DateTime";"Followers"
"2023-04-22 00:00:00";363
"2023-04-23 00:00:00";741
"2023-04-24 00:00:00";1180
"2023-04-25 00:00:00";1606
"2023-04-26 00:00:00";1865
"2023-04-27 00:00:00";2064
"2023-04-28 00:00:00";2236
"2023-04-29 00:00:00";2422
"2023-04-30 00:00:00";2625
"2023-05-01 00:00:00";2805
"2023-05-02 00:00:00";2985
"2023-05-03 00:00:00";3118
"2023-05-04 00:00:00";3231
"2023-05-05 00:00:00";3371
"2023-05-06 00:00:00";3533
"2023-05-07 00:00:00";3707
"2023-05-08 00:00:00";3867
"2023-05-09 00:00:00";4092
"2023-05-10 00:00:00";4305
"2023-05-11 00:00:00";4515
"2023-05-12 00:00:00";9354
"2023-05-13 00:00:00";12187
"2023-05-14 00:00:00";13829
"2023-05-15 00:00:00";15048
"2023-05-16 00:00:00";15853
"2023-05-17 00:00:00";16514
"2023-05-18 00:00:00";17157
"2023-05-19 00:00:00";17715
"2023-05-20 00:00:00";18160
"2023-05-21 00:00:00";18526
"2023-05-22 00:00:00";18855
"2023-05-23 00:00:00";19173
"2023-05-24 00:00:00";19417
"2023-05-25 00:00:00";19649
"2023-05-26 00:00:00";19853
"2023-05-27 00:00:00";20009
"2023-05-28 00:00:00";20148
"2023-05-29 00:00:00";20263
"2023-05-30 00:00:00";20362
"2023-05-31 00:00:00";20441
"2023-06-01 00:00:00";20513
"2023-06-02 00:00:00";20570
"2023-06-03 00:00:00";20636
"2023-06-04 00:00:00";20721
"2023-06-05 00:00:00";20768
"2023-06-06 00:00:00";20835
"2023-06-07 00:00:00";20868
"2023-06-08 00:00:00";20933
"2023-06-09 00:00:00";20987
"2023-06-10 00:00:00";21048
"2023-06-11 00:00:00";21100
"2023-06-12 00:00:00";21155
"2023-06-13 00:00:00";21197
"2023-06-14 00:00:00";21241
"2023-06-15 00:00:00";21282
"2023-06-16 00:00:00";21336
"2023-06-17 00:00:00";21378
"2023-06-18 00:00:00";21439
"2023-06-19 00:00:00";21489
"2023-06-20 00:00:00";21519
"2023-06-21 00:00:00";21557
"2023-06-22 00:00:00";21595
"2023-06-23 00:00:00";21630
"2023-06-24 00:00:00";21684
"2023-06-25 00:00:00";21729
"2023-06-26 00:00:00";21786
"2023-06-27 00:00:00";21850
"2023-06-28 00:00:00";21892
"2023-06-29 00:00:00";21943
"2023-06-30 00:00:00";22225
"2023-07-01 00:00:00";22783
"2023-07-02 00:00:00";23185
"2023-07-03 00:00:00";23520
"2023-07-04 00:00:00";23787
"2023-07-05 00:00:00";23996
"2023-07-06 00:00:00";24207
"2023-07-07 00:00:00";24407
"2023-07-08 00:00:00";24584
"2023-07-09 00:00:00";24765
"2023-07-10 00:00:00";24928
"2023-07-11 00:00:00";25089
"2023-07-12 00:00:00";25229
"2023-07-13 00:00:00";25400
"2023-07-14 00:00:00";25501
"2023-07-15 00:00:00";25590
"2023-07-16 00:00:00";25670
"2023-07-17 00:00:00";25734
"2023-07-18 00:00:00";25784
"2023-07-19 00:00:00";25830
"2023-07-20 00:00:00";25869
"2023-07-21 00:00:00";25901
"2023-07-22 00:00:00";25921
"2023-07-23 00:00:00";25951
"2023-07-24 00:00:00";25976
"2023-07-25 00:00:00";26103
"2023-07-26 00:00:00";26226
"2023-07-27 00:00:00";26370
"2023-07-28 00:00:00";26504
"2023-07-29 00:00:00";26607
"2023-07-30 00:00:00";26765
"2023-07-31 00:00:00";26905
"2023-08-01 00:00:00";27006
"2023-08-02 00:00:00";27088
"2023-08-03 00:00:00";27134
"2023-08-04 00:00:00";27183
"2023-08-05 00:00:00";27224
"2023-08-06 00:00:00";27258
"2023-08-07 00:00:00";27289
"2023-08-08 00:00:00";27315
"2023-08-09 00:00:00";27337
"2023-08-10 00:00:00";27371
"2023-08-11 00:00:00";27392
"2023-08-12 00:00:00";27413
"2023-08-13 00:00:00";27452
"2023-08-14 00:00:00";27472
"2023-08-15 00:00:00";27505
"2023-08-16 00:00:00";27527
"2023-08-17 00:00:00";27545
"2023-08-18 00:00:00";27572
"2023-08-19 00:00:00";27599
"2023-08-20 00:00:00";27635
"2023-08-21 00:00:00";27656
"2023-08-22 00:00:00";27682
"2023-08-23 00:00:00";27707
"2023-08-24 00:00:00";27726
"2023-08-25 00:00:00";27752
"2023-08-26 00:00:00";27779
"2023-08-27 00:00:00";27807
"2023-08-28 00:00:00";27826
"2023-08-29 00:00:00";27849
"2023-08-30 00:00:00";27873
"2023-08-31 00:00:00";27906
"2023-09-01 00:00:00";27914
"2023-09-02 00:00:00";27945
"2023-09-03 00:00:00";27982
"2023-09-04 00:00:00";28009
"2023-09-05 00:00:00";28031
"2023-09-06 00:00:00";28055
"2023-09-07 00:00:00";28073
"2023-09-08 00:00:00";28094
"2023-09-09 00:00:00";28115
"2023-09-10 00:00:00";28143
"2023-09-11 00:00:00";28178
"2023-09-12 00:00:00";28194
"2023-09-13 00:00:00";28221
"2023-09-14 00:00:00";28239
"2023-09-15 00:00:00";28402
"2023-09-16 00:00:00";28641
"2023-09-17 00:00:00";28858
"2023-09-18 00:00:00";29050
"2023-09-19 00:00:00";29205
"2023-09-20 00:00:00";29328
"2023-09-21 00:00:00";29452
"2023-09-22 00:00:00";29556
"2023-09-23 00:00:00";29635
"2023-09-24 00:00:00";29705
"2023-09-25 00:00:00";29767
"2023-09-26 00:00:00";29805
"2023-09-27 00:00:00";29826
"2023-09-28 00:00:00";29856
"2023-09-29 00:00:00";29878
"2023-09-30 00:00:00";29910
"2023-10-01 00:00:00";29926
"2023-10-02 00:00:00";29951
"2023-10-03 00:00:00";29971
"2023-10-04 00:00:00";29986
"2023-10-05 00:00:00";30015
"2023-10-06 00:00:00";30049
"2023-10-07 00:00:00";30070
"2023-10-08 00:00:00";30096
"2023-10-09 00:00:00";30109
"2023-10-10 00:00:00";30143
"2023-10-11 00:00:00";30167
"2023-10-12 00:00:00";30187
"2023-10-13 00:00:00";30207
"2023-10-14 00:00:00";30237
"2023-10-15 00:00:00";30263
"2023-10-16 00:00:00";30286
"2023-10-17 00:00:00";30311
"2023-10-18 00:00:00";30347
"2023-10-19 00:00:00";30368
"2023-10-20 00:00:00";30386
"2023-10-21 00:00:00";30412
"2023-10-22 00:00:00";30441
"2023-10-23 00:00:00";30465
"2023-10-24 00:00:00";30478
"2023-10-25 00:00:00";30501
"2023-10-26 00:00:00";30525
"2023-10-27 00:00:00";30541
"2023-10-28 00:00:00";30564
"2023-10-29 00:00:00";30599
"2023-10-30 00:00:00";30623
"2023-10-31 00:00:00";30643
"2023-11-01 00:00:00";30659
"2023-11-02 00:00:00";30682
"2023-11-03 00:00:00";30703
"2023-11-04 00:00:00";30801
"2023-11-05 00:00:00";30991
"2023-11-06 00:00:00";31139
"2023-11-07 00:00:00";31287
"2023-11-08 00:00:00";31421
"2023-11-09 00:00:00";31515
"2023-11-10 00:00:00";31641
"2023-11-11 00:00:00";31741
"2023-11-12 00:00:00";31804
"2023-11-13 00:00:00";31862
"2023-11-14 00:00:00";31907
"2023-11-15 00:00:00";31950
"2023-11-16 00:00:00";31990
"2023-11-17 00:00:00";32027
"2023-11-18 00:00:00";32054
"2023-11-19 00:00:00";32086
"2023-11-20 00:00:00";32119
"2023-11-21 00:00:00";32143
"2023-11-22 00:00:00";32226
"2023-11-23 00:00:00";32362
"2023-11-24 00:00:00";32470
"2023-11-25 00:00:00";32586
"2023-11-26 00:00:00";32706
"2023-11-27 00:00:00";32880
"2023-11-28 00:00:00";32955
"2023-11-29 00:00:00";33012
"2023-11-30 00:00:00";33047
"2023-12-01 00:00:00";33074
"2023-12-02 00:00:00";33104
"2023-12-03 00:00:00";33145
"2023-12-04 00:00:00";33190
"2023-12-05 00:00:00";33221
"2023-12-06 00:00:00";33246
"2023-12-07 00:00:00";33277
"2023-12-08 00:00:00";33306
"2023-12-09 00:00:00";33329
"2023-12-10 00:00:00";33366
"2023-12-11 00:00:00";33391
"2023-12-12 00:00:00";33420
"2023-12-13 00:00:00";33455
"2023-12-14 00:00:00";33544
"2023-12-15 00:00:00";33651
"2023-12-16 00:00:00";33751
"2023-12-17 00:00:00";33860
"2023-12-18 00:00:00";33963
"2023-12-19 00:00:00";34059
