"DateTime";"Followers"
"2022-11-22 00:00:00";1185
"2022-11-23 00:00:00";2003
"2022-11-24 00:00:00";2375
"2022-11-25 00:00:00";2619
"2022-11-26 00:00:00";2878
"2022-11-27 00:00:00";3142
"2022-11-28 00:00:00";3340
"2022-11-29 00:00:00";3554
"2022-11-30 00:00:00";3873
"2022-12-01 00:00:00";4175
"2022-12-02 00:00:00";4570
"2022-12-03 00:00:00";5005
"2022-12-04 00:00:00";5384
"2022-12-05 00:00:00";5743
"2022-12-06 00:00:00";6179
"2022-12-07 00:00:00";11693
"2022-12-08 00:00:00";14626
"2022-12-09 00:00:00";15981
"2022-12-10 00:00:00";17117
"2022-12-11 00:00:00";18113
"2022-12-12 00:00:00";18964
"2022-12-13 00:00:00";19721
"2022-12-14 00:00:00";20319
"2022-12-15 00:00:00";20774
"2022-12-16 00:00:00";21419
"2022-12-17 00:00:00";22064
"2022-12-18 00:00:00";22689
"2022-12-19 00:00:00";23211
"2022-12-20 00:00:00";23676
"2022-12-21 00:00:00";24083
"2022-12-22 00:00:00";24396
"2022-12-23 00:00:00";25401
"2022-12-24 00:00:00";26199
"2022-12-25 00:00:00";26738
"2022-12-26 00:00:00";27280
"2022-12-27 00:00:00";27821
"2022-12-28 00:00:00";28198
"2022-12-29 00:00:00";28514
"2022-12-30 00:00:00";28838
"2022-12-31 00:00:00";29167
"2023-01-01 00:00:00";29432
"2023-01-02 00:00:00";29774
"2023-01-03 00:00:00";30103
"2023-01-04 00:00:00";30401
"2023-01-05 00:00:00";30709
"2023-01-06 00:00:00";30906
"2023-01-07 00:00:00";31053
"2023-01-08 00:00:00";31213
"2023-01-09 00:00:00";31336
"2023-01-10 00:00:00";31439
"2023-01-11 00:00:00";31534
"2023-01-12 00:00:00";31599
"2023-01-13 00:00:00";31665
"2023-01-14 00:00:00";31740
"2023-01-15 00:00:00";31822
"2023-01-16 00:00:00";31901
"2023-01-17 00:00:00";31971
"2023-01-18 00:00:00";32035
"2023-01-19 00:00:00";32087
"2023-01-20 00:00:00";32161
"2023-01-21 00:00:00";32228
"2023-01-22 00:00:00";32310
"2023-01-23 00:00:00";32397
"2023-01-24 00:00:00";32453
"2023-01-25 00:00:00";32519
"2023-01-26 00:00:00";32584
"2023-01-27 00:00:00";32655
"2023-01-28 00:00:00";32727
"2023-01-29 00:00:00";32797
"2023-01-30 00:00:00";32871
"2023-01-31 00:00:00";32928
"2023-02-01 00:00:00";33015
"2023-02-02 00:00:00";33066
"2023-02-03 00:00:00";33133
"2023-02-04 00:00:00";33187
"2023-02-05 00:00:00";33258
"2023-02-06 00:00:00";33339
"2023-02-07 00:00:00";33404
"2023-02-08 00:00:00";33454
"2023-02-09 00:00:00";33500
"2023-02-10 00:00:00";33561
"2023-02-11 00:00:00";33629
"2023-02-12 00:00:00";33702
"2023-02-13 00:00:00";33768
"2023-02-14 00:00:00";33818
"2023-02-15 00:00:00";33878
"2023-02-16 00:00:00";33927
"2023-02-17 00:00:00";33955
"2023-02-18 00:00:00";34015
"2023-02-19 00:00:00";34073
"2023-02-20 00:00:00";34122
"2023-02-21 00:00:00";34170
"2023-02-22 00:00:00";34220
"2023-02-23 00:00:00";34266
"2023-02-24 00:00:00";34315
"2023-02-25 00:00:00";34374
"2023-02-26 00:00:00";34458
"2023-02-27 00:00:00";34520
"2023-02-28 00:00:00";34566
"2023-03-01 00:00:00";34603
"2023-03-02 00:00:00";34629
"2023-03-03 00:00:00";34911
"2023-03-04 00:00:00";35224
"2023-03-05 00:00:00";35493
"2023-03-06 00:00:00";35772
"2023-03-07 00:00:00";35949
"2023-03-08 00:00:00";36091
"2023-03-09 00:00:00";36217
"2023-03-10 00:00:00";36304
"2023-03-11 00:00:00";36382
"2023-03-12 00:00:00";36455
"2023-03-13 00:00:00";36506
"2023-03-14 00:00:00";36558
"2023-03-15 00:00:00";36597
"2023-03-16 00:00:00";36638
"2023-03-17 00:00:00";36811
"2023-03-18 00:00:00";37036
"2023-03-19 00:00:00";37231
"2023-03-20 00:00:00";37356
"2023-03-21 00:00:00";37435
"2023-03-22 00:00:00";37550
"2023-03-23 00:00:00";37641
"2023-03-24 00:00:00";37729
"2023-03-25 00:00:00";37802
"2023-03-26 00:00:00";37854
"2023-03-27 00:00:00";37854
"2023-03-28 00:00:00";37924
"2023-03-29 00:00:00";37971
"2023-03-30 00:00:00";38005
"2023-03-31 00:00:00";38041
"2023-04-01 00:00:00";38082
"2023-04-02 00:00:00";38131
"2023-04-03 00:00:00";38168
"2023-04-04 00:00:00";38168
"2023-04-05 00:00:00";38235
"2023-04-06 00:00:00";38270
"2023-04-07 00:00:00";38298
"2023-04-08 00:00:00";38335
"2023-04-09 00:00:00";38375
"2023-04-10 00:00:00";38420
"2023-04-11 00:00:00";38452
"2023-04-12 00:00:00";38452
"2023-04-13 00:00:00";38452
"2023-04-14 00:00:00";38568
"2023-04-15 00:00:00";38619
"2023-04-16 00:00:00";38663
"2023-04-17 00:00:00";38721
"2023-04-18 00:00:00";38816
"2023-04-19 00:00:00";38938
"2023-04-20 00:00:00";39051
"2023-04-21 00:00:00";39124
"2023-04-22 00:00:00";39225
"2023-04-23 00:00:00";39325
"2023-04-24 00:00:00";39444
"2023-04-25 00:00:00";39516
"2023-04-26 00:00:00";39570
"2023-04-27 00:00:00";39611
"2023-04-28 00:00:00";39657
