"DateTime";"Followers"
"2022-12-14 00:00:00";698
"2022-12-15 00:00:00";1148
"2022-12-16 00:00:00";1403
"2022-12-17 00:00:00";1548
"2022-12-18 00:00:00";1649
"2022-12-19 00:00:00";1738
"2022-12-20 00:00:00";1828
"2022-12-21 00:00:00";1923
"2022-12-22 00:00:00";1997
"2022-12-23 00:00:00";2095
"2022-12-24 00:00:00";2221
"2022-12-25 00:00:00";2367
"2022-12-26 00:00:00";2523
"2022-12-27 00:00:00";2683
"2022-12-28 00:00:00";2760
"2022-12-29 00:00:00";2807
"2022-12-30 00:00:00";2843
"2022-12-31 00:00:00";2880
"2023-01-01 00:00:00";2919
"2023-01-02 00:00:00";2958
"2023-01-03 00:00:00";2989
"2023-01-04 00:00:00";3018
"2023-01-05 00:00:00";3050
"2023-01-06 00:00:00";3082
"2023-01-07 00:00:00";3105
"2023-01-08 00:00:00";3133
"2023-01-09 00:00:00";3158
"2023-01-10 00:00:00";3175
"2023-01-11 00:00:00";3207
"2023-01-12 00:00:00";3228
"2023-01-13 00:00:00";3254
"2023-01-14 00:00:00";3293
"2023-01-15 00:00:00";3322
"2023-01-16 00:00:00";3350
"2023-01-17 00:00:00";3365
"2023-01-18 00:00:00";3365
"2023-01-19 00:00:00";3407
"2023-01-20 00:00:00";3446
"2023-01-21 00:00:00";3540
"2023-01-22 00:00:00";3645
"2023-01-23 00:00:00";3713
"2023-01-24 00:00:00";3827
"2023-01-25 00:00:00";3956
"2023-01-26 00:00:00";4084
"2023-01-27 00:00:00";5995
"2023-01-28 00:00:00";7511
"2023-01-29 00:00:00";8354
"2023-01-30 00:00:00";8916
"2023-01-31 00:00:00";9228
"2023-02-01 00:00:00";9425
"2023-02-02 00:00:00";9548
"2023-02-03 00:00:00";9646
"2023-02-04 00:00:00";9727
"2023-02-05 00:00:00";9804
"2023-02-06 00:00:00";9860
"2023-02-07 00:00:00";9897
"2023-02-08 00:00:00";9922
"2023-02-09 00:00:00";9967
"2023-02-10 00:00:00";9991
"2023-02-11 00:00:00";10026
"2023-02-12 00:00:00";10049
"2023-02-13 00:00:00";10072
"2023-02-14 00:00:00";10092
"2023-02-15 00:00:00";10126
"2023-02-16 00:00:00";10151
"2023-02-17 00:00:00";10179
"2023-02-18 00:00:00";10207
"2023-02-19 00:00:00";10244
"2023-02-20 00:00:00";10266
"2023-02-21 00:00:00";10280
"2023-02-22 00:00:00";10309
"2023-02-23 00:00:00";10322
"2023-02-24 00:00:00";10340
"2023-02-25 00:00:00";10379
"2023-02-26 00:00:00";10407
"2023-02-27 00:00:00";10419
"2023-02-28 00:00:00";10428
"2023-03-01 00:00:00";10451
"2023-03-02 00:00:00";10471
"2023-03-03 00:00:00";10666
"2023-03-04 00:00:00";10907
"2023-03-05 00:00:00";11108
"2023-03-06 00:00:00";11271
"2023-03-07 00:00:00";11392
"2023-03-08 00:00:00";11455
"2023-03-09 00:00:00";11528
"2023-03-10 00:00:00";11578
"2023-03-11 00:00:00";11619
"2023-03-12 00:00:00";11641
"2023-03-13 00:00:00";11668
"2023-03-14 00:00:00";11684
"2023-03-15 00:00:00";11697
"2023-03-16 00:00:00";11707
"2023-03-17 00:00:00";11811
"2023-03-18 00:00:00";11946
"2023-03-19 00:00:00";12046
"2023-03-20 00:00:00";12128
"2023-03-21 00:00:00";12196
"2023-03-22 00:00:00";12264
"2023-03-23 00:00:00";12318
"2023-03-24 00:00:00";12361
"2023-03-25 00:00:00";12382
"2023-03-26 00:00:00";12404
"2023-03-27 00:00:00";12404
"2023-03-28 00:00:00";12438
"2023-03-29 00:00:00";12458
"2023-03-30 00:00:00";12467
"2023-03-31 00:00:00";12472
"2023-04-01 00:00:00";12483
"2023-04-02 00:00:00";12497
"2023-04-03 00:00:00";12506
"2023-04-04 00:00:00";12506
"2023-04-05 00:00:00";12535
"2023-04-06 00:00:00";12539
"2023-04-07 00:00:00";12539
"2023-04-08 00:00:00";12539
"2023-04-09 00:00:00";12569
"2023-04-10 00:00:00";12577
"2023-04-11 00:00:00";12577
"2023-04-12 00:00:00";12577
"2023-04-13 00:00:00";12577
"2023-04-14 00:00:00";12577
"2023-04-15 00:00:00";12628
"2023-04-16 00:00:00";12632
"2023-04-17 00:00:00";12632
"2023-04-18 00:00:00";12659
"2023-04-19 00:00:00";12665
"2023-04-20 00:00:00";12680
"2023-04-21 00:00:00";12693
"2023-04-22 00:00:00";12702
"2023-04-23 00:00:00";12707
"2023-04-24 00:00:00";12724
"2023-04-25 00:00:00";12737
"2023-04-26 00:00:00";12751
"2023-04-27 00:00:00";12765
"2023-04-28 00:00:00";12780
"2023-04-29 00:00:00";12789
"2023-04-30 00:00:00";12802
"2023-05-01 00:00:00";12812
"2023-05-02 00:00:00";12825
"2023-05-03 00:00:00";12833
"2023-05-04 00:00:00";12839
"2023-05-05 00:00:00";12851
"2023-05-06 00:00:00";12855
"2023-05-07 00:00:00";12865
"2023-05-08 00:00:00";12877
"2023-05-09 00:00:00";12893
"2023-05-10 00:00:00";12904
"2023-05-11 00:00:00";12910
"2023-05-12 00:00:00";12921
"2023-05-13 00:00:00";12933
"2023-05-14 00:00:00";12945
"2023-05-15 00:00:00";12954
"2023-05-16 00:00:00";12961
"2023-05-17 00:00:00";12972
"2023-05-18 00:00:00";12987
"2023-05-19 00:00:00";12996
"2023-05-20 00:00:00";13011
"2023-05-21 00:00:00";13022
"2023-05-22 00:00:00";13031
"2023-05-23 00:00:00";13044
"2023-05-24 00:00:00";13049
"2023-05-25 00:00:00";13064
"2023-05-26 00:00:00";13074
"2023-05-27 00:00:00";13086
"2023-05-28 00:00:00";13095
"2023-05-29 00:00:00";13100
"2023-05-30 00:00:00";13109
"2023-05-31 00:00:00";13118
"2023-06-01 00:00:00";13124
"2023-06-02 00:00:00";13411
"2023-06-03 00:00:00";13749
"2023-06-04 00:00:00";14066
"2023-06-05 00:00:00";14338
"2023-06-06 00:00:00";14516
"2023-06-07 00:00:00";14637
"2023-06-08 00:00:00";14758
"2023-06-09 00:00:00";14846
"2023-06-10 00:00:00";14899
"2023-06-11 00:00:00";14955
"2023-06-12 00:00:00";14988
"2023-06-13 00:00:00";15009
"2023-06-14 00:00:00";15026
"2023-06-15 00:00:00";15046
"2023-06-16 00:00:00";15055
"2023-06-17 00:00:00";15067
"2023-06-18 00:00:00";15076
"2023-06-19 00:00:00";15090
"2023-06-20 00:00:00";15097
"2023-06-21 00:00:00";15110
"2023-06-22 00:00:00";15120
"2023-06-23 00:00:00";15126
"2023-06-24 00:00:00";15133
"2023-06-25 00:00:00";15147
"2023-06-26 00:00:00";15162
"2023-06-27 00:00:00";15171
"2023-06-28 00:00:00";15183
"2023-06-29 00:00:00";15196
"2023-06-30 00:00:00";15241
"2023-07-01 00:00:00";15299
"2023-07-02 00:00:00";15377
"2023-07-03 00:00:00";15448
"2023-07-04 00:00:00";15517
"2023-07-05 00:00:00";15600
"2023-07-06 00:00:00";15660
"2023-07-07 00:00:00";15706
"2023-07-08 00:00:00";15755
"2023-07-09 00:00:00";15809
"2023-07-10 00:00:00";15853
"2023-07-11 00:00:00";15901
"2023-07-12 00:00:00";15941
"2023-07-13 00:00:00";15975
"2023-07-14 00:00:00";16000
"2023-07-15 00:00:00";16006
"2023-07-16 00:00:00";16018
"2023-07-17 00:00:00";16029
"2023-07-18 00:00:00";16045
"2023-07-19 00:00:00";16053
"2023-07-20 00:00:00";16061
"2023-07-21 00:00:00";16074
"2023-07-22 00:00:00";16085
"2023-07-23 00:00:00";16101
"2023-07-24 00:00:00";16109
"2023-07-25 00:00:00";16173
"2023-07-26 00:00:00";16249
"2023-07-27 00:00:00";16307
"2023-07-28 00:00:00";16362
"2023-07-29 00:00:00";16427
"2023-07-30 00:00:00";16479
"2023-07-31 00:00:00";16530
"2023-08-01 00:00:00";16553
"2023-08-02 00:00:00";16561
"2023-08-03 00:00:00";16568
"2023-08-04 00:00:00";16580
"2023-08-05 00:00:00";16590
"2023-08-06 00:00:00";16602
"2023-08-07 00:00:00";16613
"2023-08-08 00:00:00";16622
"2023-08-09 00:00:00";16628
"2023-08-10 00:00:00";16640
"2023-08-11 00:00:00";16649
"2023-08-12 00:00:00";16655
"2023-08-13 00:00:00";16661
"2023-08-14 00:00:00";16669
"2023-08-15 00:00:00";16683
"2023-08-16 00:00:00";16694
"2023-08-17 00:00:00";16702
"2023-08-18 00:00:00";16713
"2023-08-19 00:00:00";16718
"2023-08-20 00:00:00";16724
"2023-08-21 00:00:00";16727
"2023-08-22 00:00:00";16735
"2023-08-23 00:00:00";16743
"2023-08-24 00:00:00";16746
"2023-08-25 00:00:00";16751
"2023-08-26 00:00:00";16756
"2023-08-27 00:00:00";16767
"2023-08-28 00:00:00";16773
"2023-08-29 00:00:00";16785
"2023-08-30 00:00:00";16794
"2023-08-31 00:00:00";16797
"2023-09-01 00:00:00";16805
"2023-09-02 00:00:00";16812
"2023-09-03 00:00:00";16821
"2023-09-04 00:00:00";16826
"2023-09-05 00:00:00";16830
"2023-09-06 00:00:00";16838
"2023-09-07 00:00:00";16845
"2023-09-08 00:00:00";16851
"2023-09-09 00:00:00";16856
"2023-09-10 00:00:00";16867
"2023-09-11 00:00:00";16920
"2023-09-12 00:00:00";16974
"2023-09-13 00:00:00";17016
"2023-09-14 00:00:00";17067
"2023-09-15 00:00:00";17106
"2023-09-16 00:00:00";17137
"2023-09-17 00:00:00";17170
"2023-09-18 00:00:00";17193
"2023-09-19 00:00:00";17204
"2023-09-20 00:00:00";17214
"2023-09-21 00:00:00";17219
"2023-09-22 00:00:00";17229
"2023-09-23 00:00:00";17241
"2023-09-24 00:00:00";17254
"2023-09-25 00:00:00";17261
"2023-09-26 00:00:00";17272
"2023-09-27 00:00:00";17282
"2023-09-28 00:00:00";17286
"2023-09-29 00:00:00";17288
"2023-09-30 00:00:00";17300
"2023-10-01 00:00:00";17305
"2023-10-02 00:00:00";17312
"2023-10-03 00:00:00";17319
"2023-10-04 00:00:00";17326
"2023-10-05 00:00:00";17329
"2023-10-06 00:00:00";17333
"2023-10-07 00:00:00";17342
"2023-10-08 00:00:00";17352
"2023-10-09 00:00:00";17359
"2023-10-10 00:00:00";17364
"2023-10-11 00:00:00";17371
"2023-10-12 00:00:00";17379
"2023-10-13 00:00:00";17387
"2023-10-14 00:00:00";17393
"2023-10-15 00:00:00";17402
"2023-10-16 00:00:00";17410
"2023-10-17 00:00:00";17415
"2023-10-18 00:00:00";17420
"2023-10-19 00:00:00";17429
"2023-10-20 00:00:00";17436
"2023-10-21 00:00:00";17443
"2023-10-22 00:00:00";17450
"2023-10-23 00:00:00";17456
"2023-10-24 00:00:00";17464
"2023-10-25 00:00:00";17470
"2023-10-26 00:00:00";17481
"2023-10-27 00:00:00";17481
"2023-10-28 00:00:00";17489
"2023-10-29 00:00:00";17492
"2023-10-30 00:00:00";17493
"2023-10-31 00:00:00";17501
"2023-11-01 00:00:00";17514
"2023-11-02 00:00:00";17518
"2023-11-03 00:00:00";17529
"2023-11-04 00:00:00";17533
"2023-11-05 00:00:00";17540
"2023-11-06 00:00:00";17547
"2023-11-07 00:00:00";17553
"2023-11-08 00:00:00";17557
"2023-11-09 00:00:00";17564
"2023-11-10 00:00:00";17721
"2023-11-11 00:00:00";17913
"2023-11-12 00:00:00";18092
"2023-11-13 00:00:00";18215
"2023-11-14 00:00:00";18318
"2023-11-15 00:00:00";18374
"2023-11-16 00:00:00";18423
"2023-11-17 00:00:00";18464
"2023-11-18 00:00:00";18484
"2023-11-19 00:00:00";18502
"2023-11-20 00:00:00";18513
"2023-11-21 00:00:00";18528
"2023-11-22 00:00:00";18543
"2023-11-23 00:00:00";18566
"2023-11-24 00:00:00";18592
"2023-11-25 00:00:00";18618
"2023-11-26 00:00:00";18637
"2023-11-27 00:00:00";18656
"2023-11-28 00:00:00";18671
"2023-11-29 00:00:00";18674
"2023-11-30 00:00:00";18685
"2023-12-01 00:00:00";18700
"2023-12-02 00:00:00";18709
"2023-12-03 00:00:00";18718
"2023-12-04 00:00:00";18723
"2023-12-05 00:00:00";18730
"2023-12-06 00:00:00";18742
"2023-12-07 00:00:00";18754
"2023-12-08 00:00:00";18762
"2023-12-09 00:00:00";18772
"2023-12-10 00:00:00";18782
"2023-12-11 00:00:00";18798
"2023-12-12 00:00:00";18809
"2023-12-13 00:00:00";18822
"2023-12-14 00:00:00";18834
"2023-12-15 00:00:00";18839
"2023-12-16 00:00:00";18844
"2023-12-17 00:00:00";18857
"2023-12-18 00:00:00";18865
"2023-12-19 00:00:00";18867
"2023-12-20 00:00:00";18882
"2023-12-21 00:00:00";18886
"2023-12-22 00:00:00";18922
"2023-12-23 00:00:00";18962
"2023-12-24 00:00:00";18995
"2023-12-25 00:00:00";19027
"2023-12-26 00:00:00";19054
"2023-12-27 00:00:00";19070
"2023-12-28 00:00:00";19090
"2023-12-29 00:00:00";19114
"2023-12-30 00:00:00";19140
"2023-12-31 00:00:00";19159
"2024-01-01 00:00:00";19178
"2024-01-02 00:00:00";19202
"2024-01-03 00:00:00";19231
"2024-01-04 00:00:00";19247
"2024-01-05 00:00:00";19302
"2024-01-06 00:00:00";19380
"2024-01-07 00:00:00";19437
"2024-01-08 00:00:00";19487
"2024-01-09 00:00:00";19534
"2024-01-10 00:00:00";19572
"2024-01-11 00:00:00";19599
"2024-01-12 00:00:00";19629
"2024-01-13 00:00:00";19656
"2024-01-14 00:00:00";19682
"2024-01-15 00:00:00";19709
"2024-01-16 00:00:00";19726
"2024-01-17 00:00:00";19734
"2024-01-18 00:00:00";19738
"2024-01-19 00:00:00";19747
"2024-01-20 00:00:00";19754
"2024-01-21 00:00:00";19764
"2024-01-22 00:00:00";19772
"2024-01-23 00:00:00";19782
"2024-01-24 00:00:00";19789
"2024-01-25 00:00:00";19797
"2024-01-26 00:00:00";19804
"2024-01-27 00:00:00";19815
"2024-01-28 00:00:00";19819
"2024-01-29 00:00:00";19823
"2024-01-30 00:00:00";19827
"2024-01-31 00:00:00";19830
"2024-02-01 00:00:00";19839
"2024-02-02 00:00:00";19845
"2024-02-03 00:00:00";19855
"2024-02-04 00:00:00";19856
"2024-02-05 00:00:00";19859
"2024-02-06 00:00:00";19865
"2024-02-07 00:00:00";19872
"2024-02-08 00:00:00";19873
"2024-02-09 00:00:00";19875
"2024-02-10 00:00:00";19881
"2024-02-11 00:00:00";19881
"2024-02-12 00:00:00";19887
"2024-02-13 00:00:00";19893
"2024-02-14 00:00:00";19902
"2024-02-15 00:00:00";19914
"2024-02-16 00:00:00";19968
"2024-02-17 00:00:00";20013
"2024-02-18 00:00:00";20040
"2024-02-19 00:00:00";20086
"2024-02-20 00:00:00";20112
"2024-02-21 00:00:00";20124
"2024-02-22 00:00:00";20142
"2024-02-23 00:00:00";20161
"2024-02-24 00:00:00";20189
"2024-02-25 00:00:00";20198
"2024-02-26 00:00:00";20218
"2024-02-27 00:00:00";20242
"2024-02-28 00:00:00";20261
"2024-02-29 00:00:00";20282
"2024-03-01 00:00:00";20290
"2024-03-02 00:00:00";20303
"2024-03-03 00:00:00";20308
"2024-03-04 00:00:00";20311
"2024-03-05 00:00:00";20318
"2024-03-06 00:00:00";20324
"2024-03-07 00:00:00";20336
"2024-03-08 00:00:00";20342
"2024-03-09 00:00:00";20346
"2024-03-10 00:00:00";20358
"2024-03-11 00:00:00";20367
"2024-03-12 00:00:00";20372
"2024-03-13 00:00:00";20374
"2024-03-14 00:00:00";20377
"2024-03-15 00:00:00";20407
"2024-03-16 00:00:00";20439
"2024-03-17 00:00:00";20461
"2024-03-18 00:00:00";20481
"2024-03-19 00:00:00";20500
"2024-03-20 00:00:00";20517
"2024-03-21 00:00:00";20541
"2024-03-22 00:00:00";20549
"2024-03-23 00:00:00";20548
"2024-03-24 00:00:00";20552
"2024-03-25 00:00:00";20558
"2024-03-26 00:00:00";20559
"2024-03-27 00:00:00";20565
"2024-03-28 00:00:00";20571
"2024-03-29 00:00:00";20577
"2024-03-30 00:00:00";20586
"2024-03-31 00:00:00";20591
"2024-04-01 00:00:00";20592
"2024-04-02 00:00:00";20601
"2024-04-03 00:00:00";20605
"2024-04-04 00:00:00";20609
"2024-04-05 00:00:00";20610
"2024-04-06 00:00:00";20613
"2024-04-07 00:00:00";20618
"2024-04-08 00:00:00";20623
"2024-04-09 00:00:00";20627
"2024-04-10 00:00:00";20633
"2024-04-11 00:00:00";20637
"2024-04-12 00:00:00";20640
"2024-04-13 00:00:00";20641
"2024-04-14 00:00:00";20646
"2024-04-15 00:00:00";20647
"2024-04-16 00:00:00";20651
"2024-04-17 00:00:00";20658
"2024-04-18 00:00:00";20662
"2024-04-19 00:00:00";20667
"2024-04-20 00:00:00";20669
"2024-04-21 00:00:00";20671
"2024-04-22 00:00:00";20674
"2024-04-23 00:00:00";20674
"2024-04-24 00:00:00";20680
"2024-04-25 00:00:00";20686
"2024-04-26 00:00:00";20691
"2024-04-27 00:00:00";20696
"2024-04-28 00:00:00";20698
